fase,n,feature,mean_abs_shap,mean_shap,direction,% vezes ↑ risco
6,17,genero,0.065875,0.020807,↑ risco,64.7
6,17,turma_mean_iaa,0.065806,0.065806,↑ risco,100.0
6,17,delta_fase_ips,0.065094,0.065094,↑ risco,100.0
6,17,fase_std_iaa,0.052306,-0.052306,↓ risco,0.0
6,17,delta_fase_media_provas,0.049653,-0.049653,↓ risco,0.0
6,17,delta_fase_matem,0.04752,-0.040464,↓ risco,29.4
6,17,delta_turma_ieg,0.047351,-0.047351,↓ risco,0.0
6,17,fase_std_ips,0.04476,0.04476,↑ risco,100.0
6,17,instituicao,0.041325,-0.011481,↓ risco,35.3
6,17,turma__p75_portug,0.039706,0.039706,↑ risco,100.0
7,20,defasagem_t,0.314935,-0.30839,↓ risco,25.0
7,20,defasagem_t_is0,0.127317,0.004608,↑ risco,70.0
7,20,fase,0.117271,0.117271,↑ risco,100.0
7,20,genero,0.078643,0.050949,↑ risco,80.0
7,20,fase__p25_ieg,0.070434,0.070434,↑ risco,100.0
7,20,delta_fase_ips,0.065543,0.065543,↑ risco,100.0
7,20,turma__p75_ieg,0.064004,-0.064004,↓ risco,0.0
7,20,turma_mean_iaa,0.060419,0.060419,↑ risco,100.0
7,20,idade,0.054998,0.039229,↑ risco,70.0
7,20,ieg,0.053779,-0.022413,↓ risco,35.0
7,20,delta_fase_media_provas,0.051881,-0.051881,↓ risco,0.0
7,20,delta_turma_iaa,0.048785,-0.048785,↓ risco,0.0
7,20,delta_turma_media_provas,0.048752,-0.048752,↓ risco,0.0
7,20,turma__p75_portug,0.047375,0.047375,↑ risco,100.0
7,20,media_provas,0.044161,-0.021821,↓ risco,35.0
8,59,defasagem_t,0.410969,-0.410969,↓ risco,0.0
8,59,defasagem_t_is0,0.200291,-0.194094,↓ risco,3.4
8,59,idade,0.100398,0.100398,↑ risco,100.0
8,59,fase,0.080073,0.080073,↑ risco,100.0
8,59,delta_fase_ips,0.074017,0.074017,↑ risco,100.0
8,59,fase__p25_ieg,0.068151,0.068151,↑ risco,100.0
8,59,genero,0.064481,0.016079,↑ risco,61.0
8,59,turma__p75_ieg,0.064465,-0.064465,↓ risco,0.0
8,59,delta_turma_iaa,0.063704,-0.063704,↓ risco,0.0
8,59,turma_mean_iaa,0.06213,0.06213,↑ risco,100.0
8,59,ieg,0.061572,-0.061572,↓ risco,0.0
8,59,delta_fase_media_provas,0.059263,-0.059263,↓ risco,0.0
8,59,delta_turma_media_provas,0.057366,-0.057366,↓ risco,0.0
8,59,delta_fase_ieg,0.052806,-0.052806,↓ risco,0.0
8,59,turma__p75_portug,0.052226,0.052226,↑ risco,100.0
