iter	Passed	Remaining
437	1386	6525
438	1389	6521
439	1392	6517
440	1395	6516
441	1397	6509
442	1401	6506
443	1404	6503
444	1407	6499
445	1410	6495
446	1413	6491
447	1416	6487
448	1419	6482
449	1422	6479
450	1425	6475
451	1428	6471
452	1431	6467
453	1434	6463
454	1437	6460
455	1440	6457
456	1443	6455
457	1447	6454
458	1450	6451
459	1454	6448
460	1457	6444
461	1460	6441
462	1463	6439
463	1465	6432
464	1468	6426
465	1471	6423
466	1474	6420
467	1478	6417
468	1481	6414
469	1484	6411
470	1487	6408
471	1490	6404
472	1494	6405
473	1498	6407
474	1502	6406
475	1506	6405
476	1510	6404
477	1514	6405
478	1518	6405
479	1522	6406
480	1525	6404
481	1528	6400
482	1531	6396
483	1534	6391
484	1537	6387
485	1540	6384
486	1543	6380
487	1546	6375
488	1550	6374
489	1553	6372
490	1556	6368
491	1559	6364
492	1562	6359
493	1565	6356
494	1568	6353
495	1571	6351
496	1575	6348
497	1578	6345
498	1581	6343
499	1585	6340
500	1588	6337
501	1590	6330
502	1593	6327
503	1597	6325
504	1600	6321
505	1603	6318
506	1606	6315
507	1609	6312
508	1612	6308
509	1616	6305
510	1618	6301
511	1620	6293
512	1624	6290
513	1627	6287
514	1630	6286
515	1634	6284
516	1637	6282
517	1641	6279
518	1644	6275
519	1647	6271
520	1649	6267
521	1652	6263
522	1655	6259
523	1659	6256
524	1662	6253
525	1665	6250
526	1668	6246
527	1671	6242
528	1674	6239
529	1677	6237
530	1681	6235
531	1684	6232
532	1688	6231
533	1691	6228
534	1695	6226
535	1698	6224
536	1702	6223
537	1705	6219
538	1708	6217
539	1712	6215
540	1715	6213
541	1719	6211
542	1722	6208
543	1726	6206
544	1728	6200
