iter	Logloss
0	0.6825471521
1	0.67388262
2	0.6686105611
3	0.6603236289
4	0.6539486455
5	0.6451514787
6	0.6378340671
7	0.6305522721
8	0.6250538517
9	0.6178072042
10	0.6105732952
11	0.6032530742
12	0.5962618833
13	0.588987856
14	0.5829825939
15	0.576085428
16	0.569493468
17	0.5640447906
18	0.5593991157
19	0.5528084991
20	0.5476926929
21	0.5445520077
22	0.5401442638
23	0.5359208441
24	0.532062695
25	0.527681365
26	0.5229668542
27	0.5184084107
28	0.5158619482
29	0.512178448
30	0.507356303
31	0.5024953669
32	0.4974755518
33	0.4968540137
34	0.492640493
35	0.4900802625
36	0.4864057395
37	0.4821164164
38	0.478833309
39	0.475699012
40	0.4737184586
41	0.470280208
42	0.4670714683
43	0.46621154
44	0.46207783
45	0.4567926592
46	0.4548130017
47	0.4511173689
48	0.4483192868
49	0.4454095534
50	0.4416358438
51	0.4386836279
52	0.4353601432
53	0.4326826116
54	0.430602699
55	0.4281322214
56	0.4261594469
57	0.4242512717
58	0.4210439776
59	0.4184617502
60	0.415890141
61	0.4134935778
62	0.4104437795
63	0.4092971706
64	0.4071674928
65	0.40437723
66	0.4023787422
67	0.3991965124
68	0.3962308459
69	0.394760335
70	0.3921638798
71	0.3891138727
72	0.3866689448
73	0.3846587085
74	0.3835012908
75	0.3809499326
76	0.3784006595
77	0.3752310906
78	0.3731753697
79	0.3699319661
80	0.3677299869
81	0.3661025967
82	0.3639521638
83	0.3614350866
84	0.3591455475
85	0.3571342297
86	0.3549716522
87	0.3532721034
88	0.3528212097
89	0.3511207861
90	0.3488026623
91	0.3477346792
92	0.3463762795
93	0.345170221
94	0.3430806522
95	0.3419588914
96	0.3409345666
97	0.3396234037
98	0.3383358186
99	0.3367410903
100	0.3345247957
101	0.3328130389
102	0.331191989
103	0.3297603637
104	0.3285107611
105	0.3282798416
106	0.3266309396
107	0.3256379656
108	0.323569612
109	0.3226410964
110	0.3225472721
111	0.3209878308
112	0.3190011497
113	0.3177352132
114	0.316317635
115	0.3148153238
116	0.3133521165
117	0.3113122137
118	0.3099337799
119	0.3098579453
120	0.3081343728
121	0.3072815913
122	0.3052535858
123	0.3041086488
124	0.3035728928
125	0.3023286046
126	0.3012755033
127	0.3004867352
128	0.2991358021
129	0.2985955556
130	0.2977495973
131	0.2966434039
132	0.2961148996
133	0.2952999939
134	0.2939112953
135	0.2928788323
136	0.2913882518
137	0.29069859
138	0.2892876724
139	0.2877370561
140	0.2868507409
141	0.2854981633
142	0.2845946065
143	0.2834630884
144	0.2824069134
145	0.2816555906
146	0.2803270125
147	0.2792881968
148	0.2773985951
149	0.2756175616
150	0.2745107539
151	0.2732331062
152	0.2718121938
153	0.2708737091
154	0.269800154
155	0.2689769675
156	0.2670342174
157	0.2661715292
158	0.264843721
159	0.2631306773
160	0.2621596222
161	0.2603781943
162	0.2589716535
163	0.257549913
164	0.2564677609
165	0.2561500919
166	0.2550602343
167	0.2532798473
168	0.2517690707
169	0.2507060648
170	0.2495168544
171	0.2491856787
172	0.2477171056
173	0.247005535
174	0.2463534826
175	0.2451377877
176	0.244157804
177	0.2429615678
178	0.241828604
179	0.2407114509
180	0.2394017146
181	0.2386950181
182	0.2379186205
183	0.2365567746
184	0.2356229812
185	0.234446413
186	0.2330596994
187	0.2320912338
188	0.2309760491
189	0.2300321576
190	0.2290679114
191	0.2283665243
192	0.2273279048
193	0.2264349556
194	0.2260614432
195	0.225523397
196	0.2247284167
197	0.2235982785
198	0.2227796461
199	0.2216891046
200	0.2204619867
201	0.2197137839
202	0.2185750439
203	0.2174951468
204	0.2167949472
205	0.2157210665
206	0.2150114342
207	0.2140899822
208	0.2131295438
209	0.2122661192
210	0.2111569305
211	0.2103543216
212	0.2095303198
213	0.2091107389
214	0.207972308
215	0.2069281012
216	0.2062993798
217	0.2053632488
218	0.2053071765
219	0.2046446015
220	0.2036700127
221	0.2029475723
222	0.2018592688
223	0.2008414527
224	0.2000350298
225	0.1985651687
