iter	Logloss
226	0.1980180719
227	0.1971328365
228	0.1968435971
229	0.1958219522
230	0.1954442741
231	0.1947110457
232	0.1937028541
233	0.1929103835
234	0.1922960514
235	0.1916888652
236	0.1908258109
237	0.1894760677
238	0.1887221074
239	0.1876368632
240	0.1866924203
241	0.1856878508
242	0.1848287498
243	0.183951137
244	0.1829413089
245	0.182118303
246	0.1809281076
247	0.1806607637
248	0.1798508799
249	0.1792749997
250	0.178783719
251	0.1776351507
252	0.1768092149
253	0.1761634061
254	0.1749098079
255	0.1740874902
256	0.1733744344
257	0.172702033
258	0.1717795862
259	0.1709133888
260	0.170126409
261	0.1696147176
262	0.1690386058
263	0.1683545305
264	0.1676751333
265	0.1669241009
266	0.16645775
267	0.165540746
268	0.1645511588
269	0.1638512765
270	0.1632403618
271	0.1623546652
272	0.1620304926
273	0.1610767984
274	0.1602005235
275	0.159174373
276	0.1584688084
277	0.1579973616
278	0.1572387561
279	0.1561361339
280	0.1553990864
281	0.1546598495
282	0.1542681472
283	0.1536731365
284	0.1529436421
285	0.151929627
286	0.1512018105
287	0.1505624059
288	0.1499697692
289	0.1490871335
290	0.1488366528
291	0.1477314586
292	0.1466486266
293	0.1459002946
294	0.145108112
295	0.1448229895
296	0.1438757297
297	0.1432289179
298	0.14232038
299	0.1416548171
300	0.1409276196
301	0.1404435037
302	0.1396192976
303	0.1392456434
304	0.1387399823
305	0.1379964561
306	0.1372542336
307	0.1371207419
308	0.1364023678
309	0.1361889133
310	0.1356480939
311	0.1352283987
312	0.1344529065
313	0.1343799774
314	0.1339368301
315	0.1338685088
316	0.1333323023
317	0.1327762555
318	0.1320803623
319	0.132015484
320	0.1313923839
321	0.1308078391
322	0.1301217222
323	0.1297261285
324	0.1294032024
325	0.1288939997
326	0.1284921411
327	0.1280795161
328	0.1273882522
329	0.1268291813
330	0.1262293288
331	0.125518543
332	0.1254144425
333	0.1246287754
334	0.1242109363
335	0.1234133255
336	0.1228777424
337	0.1222335529
338	0.1214346888
339	0.1209755005
340	0.1204083125
341	0.1196666378
342	0.1193096122
343	0.1190907705
344	0.118991164
345	0.1183508956
346	0.1181778178
347	0.117382228
348	0.1171671515
349	0.116721153
350	0.1162700604
351	0.1157662832
352	0.115412695
353	0.1151416437
354	0.1145857406
355	0.1140698057
356	0.1134788654
357	0.1128444375
358	0.112461186
359	0.112172736
360	0.1117512128
361	0.111151728
362	0.1105098222
363	0.1100687006
364	0.1094648943
365	0.1090359906
366	0.1082450379
367	0.1079284759
368	0.107571657
369	0.1068752436
370	0.1065673707
371	0.105881554
372	0.1053808178
373	0.1050485398
374	0.1044789753
375	0.103978659
376	0.1037389964
377	0.1033377903
378	0.1030398466
379	0.1025844091
380	0.1019603401
381	0.1016667631
382	0.1015045533
383	0.1008184034
384	0.1004236367
385	0.1000198846
386	0.09991273378
387	0.09939261629
388	0.09898192096
389	0.09857774375
390	0.0982447389
391	0.09797953634
392	0.0973702351
393	0.09709202655
394	0.09677098296
395	0.09633066183
396	0.09601405117
397	0.09545555472
398	0.09515963103
399	0.09482058943
400	0.09434162488
401	0.0942402157
402	0.09386175472
403	0.09352250819
404	0.09334549535
405	0.09292272585
406	0.09249886873
407	0.09216465419
408	0.09170247013
409	0.09138213327
410	0.09123618656
411	0.09100082612
412	0.09075601857
413	0.09041283976
414	0.09001980062
415	0.08977869353
416	0.08941848748
417	0.08895822648
418	0.08859934744
419	0.088244633
420	0.08796961351
421	0.08757436947
422	0.08727458074
423	0.08700791941
424	0.08658213654
425	0.08644199394
426	0.08620704655
427	0.08591758691
428	0.08571350918
429	0.08537019241
430	0.08509154789
431	0.08474792027
432	0.08446747709
433	0.0841103501
434	0.0837530224
435	0.08335380358
436	0.08307043555
437	0.08279259419
438	0.08254886788
439	0.08209499233
440	0.08178443925
441	0.08158882694
442	0.08124197148
443	0.08119331253
444	0.08091143884
445	0.08074774969
446	0.08054783189
447	0.08036340035
448	0.08023085359
449	0.07988788602
450	0.07947312917
451	0.07921504204
452	0.07877416829
453	0.07855158455
454	0.07825473669
455	0.07824809144
456	0.07795010968
457	0.07780815629
458	0.07741786372
459	0.07719570985
460	0.07709381062
461	0.07696624441
462	0.07660432544
463	0.07634824258
464	0.07621302082
465	0.07584618957
466	0.07560329555
467	0.07536911947
468	0.07531886354
469	0.07499242708
470	0.07478295762
471	0.07459614083
472	0.0743432384
473	0.07404449838
474	0.07388156279
475	0.07358934496
476	0.07339159277
477	0.07308543629
478	0.07297603634
479	0.07264799779
480	0.07249954896
481	0.07248822569
482	0.07224586788
483	0.07195424499
484	0.07180207414
485	0.07163927614
486	0.07150404489
487	0.07135208974
488	0.07112670608
489	0.07093353448
490	0.07091931949
491	0.07064935781
492	0.07033360298
493	0.07011531555
494	0.06983262583
495	0.06960698203
496	0.06948749986
497	0.06941134658
498	0.06917895329
499	0.06904086312
500	0.06881444625
501	0.06865647513
502	0.0684595998
503	0.06816461054
504	0.0679445548
505	0.06786548162
506	0.06785471368
507	0.06759211698
508	0.06731653151
509	0.06701118698
510	0.06682083173
511	0.06663744191
512	0.06644276238
513	0.06616369575
514	0.06599095145
515	0.06573051389
516	0.06549912097
517	0.06531817285
518	0.065156562
519	0.06496892358
520	0.06488743639
521	0.0646611468
522	0.06457776661
523	0.06435851498
524	0.06420004726
525	0.06399422204
526	0.06377253884
527	0.06367722845
528	0.06346198984
529	0.06330810805
530	0.06311592739
531	0.0630030563
532	0.0629110673
533	0.0627215116
534	0.06251832984
535	0.06233493874
536	0.06218300942
537	0.0620087746
538	0.06177945477
539	0.06159487061
540	0.06141114759
541	0.06120480621
542	0.061079496
543	0.06090686418
544	0.06077754716
